mux_type,k_min,density,rep,N,N_gcc,giant_fraction
no_mux,100.0,0.0003703498849149162,18,1000,196.0,0.196
no_mux,100.0,0.0003703498849149162,19,1000,292.0,0.292
no_mux,100.0,0.0003703498849149162,20,1000,175.0,0.175
no_mux,100.0,0.0003703498849149162,21,1000,219.0,0.219
no_mux,100.0,0.0003703498849149162,22,1000,262.0,0.262
no_mux,100.0,0.0003703498849149162,23,1000,119.0,0.119
no_mux,100.0,0.0003703498849149162,24,1000,95.0,0.095
no_mux,100.0,0.0003703498849149162,25,1000,167.0,0.167
no_mux,100.0,0.0003703498849149162,26,1000,166.0,0.166
no_mux,100.0,0.0003703498849149162,27,1000,179.0,0.179
no_mux,100.0,0.0003703498849149162,28,1000,316.0,0.316
no_mux,100.0,0.0003703498849149162,29,1000,149.0,0.149
no_mux,100.0,0.0003703498849149162,30,1000,143.0,0.143
no_mux,100.0,0.0003703498849149162,31,1000,188.0,0.188
no_mux,100.0,0.0003703498849149162,32,1000,151.0,0.151
no_mux,100.0,0.0003703498849149162,33,1000,180.0,0.18
no_mux,100.0,0.0003703498849149162,34,1000,103.0,0.103
no_mux,100.0,0.0003703498849149162,35,1000,140.0,0.14
no_mux,100.0,0.0003703498849149162,36,1000,115.0,0.115
no_mux,100.0,0.0003703498849149162,37,1000,91.0,0.091
no_mux,100.0,0.0003703498849149162,38,1000,78.0,0.078
no_mux,100.0,0.0003703498849149162,39,1000,102.0,0.102
no_mux,100.0,0.0004320238955569227,0,1000,390.0,0.39
no_mux,100.0,0.0004320238955569227,1,1000,387.0,0.387
no_mux,100.0,0.0004320238955569227,2,1000,251.0,0.251
no_mux,100.0,0.0004320238955569227,3,1000,105.0,0.105
no_mux,100.0,0.0004320238955569227,4,1000,378.0,0.378
no_mux,100.0,0.0004320238955569227,5,1000,343.0,0.343
no_mux,100.0,0.0004320238955569227,6,1000,161.0,0.161
no_mux,100.0,0.0004320238955569227,7,1000,241.0,0.241
no_mux,100.0,0.0004320238955569227,8,1000,125.0,0.125
no_mux,100.0,0.0004320238955569227,9,1000,247.0,0.247
no_mux,100.0,0.0004320238955569227,10,1000,257.0,0.257
no_mux,100.0,0.0004320238955569227,11,1000,353.0,0.353
no_mux,100.0,0.0004320238955569227,12,1000,276.0,0.276
no_mux,100.0,0.0004320238955569227,13,1000,299.0,0.299
no_mux,100.0,0.0004320238955569227,14,1000,89.0,0.089
no_mux,100.0,0.0004320238955569227,15,1000,150.0,0.15
no_mux,100.0,0.0004320238955569227,16,1000,319.0,0.319
no_mux,100.0,0.0004320238955569227,17,1000,233.0,0.233
no_mux,100.0,0.0004320238955569227,18,1000,125.0,0.125
no_mux,100.0,0.0004320238955569227,19,1000,138.0,0.138
no_mux,100.0,0.0004320238955569227,20,1000,292.0,0.292
no_mux,100.0,0.0004320238955569227,21,1000,213.0,0.213
no_mux,100.0,0.0004320238955569227,22,1000,170.0,0.17
no_mux,100.0,0.0004320238955569227,23,1000,93.0,0.093
no_mux,100.0,0.0004320238955569227,24,1000,204.0,0.204
no_mux,100.0,0.0004320238955569227,25,1000,223.0,0.223
no_mux,100.0,0.0004320238955569227,26,1000,181.0,0.181
no_mux,100.0,0.0004320238955569227,27,1000,163.0,0.163
no_mux,100.0,0.0004320238955569227,28,1000,171.0,0.171
no_mux,100.0,0.0004320238955569227,29,1000,73.0,0.073
no_mux,100.0,0.0004320238955569227,30,1000,162.0,0.162
