mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
no_mux,100,1,0.00040949150623804275,4,1000,259.67134796430133,0.07495990740406629,0.8875601388939006,741.1465405670685,0.003073073073073073
no_mux,100,1,0.00040949150623804275,5,1000,216.52732480758343,0.07537680779237906,0.8869347883114314,628.9461358369202,0.0030830830830830833
no_mux,100,1,0.00040949150623804275,6,1000,148.75274146558397,0.10495945270856193,0.8425608209371571,456.6482151533102,0.004294294294294294
no_mux,100,1,0.00040949150623804275,7,1000,246.5900850346521,0.08098433027902893,0.8785235045814566,714.0056780552296,0.003643643643643644
no_mux,100,1,0.00040949150623804275,8,1000,303.27384248371243,0.06613927001084732,0.900791094983729,863.0719342589413,0.0038138138138138137
no_mux,100,1,0.00040949150623804275,9,1000,280.9325677963351,0.08216211663035085,0.8767568250544737,810.4433016110792,0.0036236236236236235
no_mux,100,1,0.0005179474679231213,0,1000,288.1141341671343,0.07578177634602108,0.8863273354809684,820.1592796724591,0.0035235235235235233
no_mux,100,1,0.0005179474679231213,1,1000,231.37294876279947,0.07901909614369783,0.8814713557844531,673.0212987064119,0.004004004004004004
no_mux,100,1,0.0005179474679231213,2,1000,225.45453475386847,0.08576983390958415,0.871345249135624,657.0187255965236,0.004224224224224225
no_mux,100,1,0.0005179474679231213,3,1000,203.25502576063678,0.08801060442920408,0.8679840933561939,594.3257972126235,0.004664664664664664
no_mux,100,1,0.0005179474679231213,4,1000,207.44011613916527,0.08151900228862055,0.8777214965670691,621.9887927034474,0.005445445445445445
no_mux,100,1,0.0005179474679231213,5,1000,229.22899720949331,0.0831613330576148,0.8752580004135777,670.2208162036386,0.0046846846846846845
no_mux,100,1,0.0005179474679231213,6,1000,172.3365476314417,0.09947866178925772,0.8507820073161133,512.8255492506033,0.004384384384384384
no_mux,100,1,0.0005179474679231213,7,1000,215.02266834255096,0.10236645525807504,0.8464503171128874,624.2888396654906,0.0037537537537537537
no_mux,100,1,0.0005179474679231213,8,1000,164.89840159263025,0.10914213088861306,0.8362868036670803,497.43271262241484,0.004324324324324324
no_mux,100,1,0.0005179474679231213,9,1000,182.65614602895073,0.09720082432710901,0.8541987635093364,543.9556685569478,0.005115115115115115
no_mux,100,1,0.0006551285568595509,0,1000,197.1992808138338,0.10866336697913213,0.8370049495313018,593.8722509595839,0.004794794794794795
no_mux,100,1,0.0006551285568595509,1,1000,198.07103523389466,0.09561957693139497,0.8565706346029077,593.1543079098162,0.005095095095095095
no_mux,100,1,0.0006551285568595509,2,1000,157.27632296105043,0.12305056473088145,0.815424152903678,473.8140194884453,0.006646646646646647
no_mux,100,1,0.0006551285568595509,3,1000,180.48482005067564,0.09281204819839958,0.8607819277024008,540.0048666854432,0.0047147147147147146
no_mux,100,1,0.0006551285568595509,4,1000,150.05606084004415,0.12001822977171045,0.8199726553424344,454.4719641074785,0.005105105105105105
no_mux,100,1,0.0006551285568595509,5,1000,194.89924517533788,0.11464949083608264,0.828025763745876,577.6673488723599,0.004704704704704705
no_mux,100,1,0.0006551285568595509,6,1000,248.96914304887434,0.08427914007690648,0.8735812898846402,730.5687701662233,0.0045945945945945945
no_mux,100,1,0.0006551285568595509,7,1000,162.12292135781647,0.10827943277728386,0.8375808508340743,499.1933437398739,0.005615615615615616
no_mux,100,1,0.0006551285568595509,8,1000,133.77670462380627,0.12540744267526022,0.8118888359871097,417.76808694357976,0.0055355355355355355
no_mux,100,1,0.0006551285568595509,9,1000,264.9588128469613,0.07871143440735404,0.881932848388969,764.9272247652974,0.0044444444444444444
no_mux,100,1,0.0008286427728546842,0,1000,130.7994229390699,0.12106916622785803,0.8183962506582129,417.0055097565248,0.006266266266266266
no_mux,100,1,0.0008286427728546842,1,1000,185.04282686478828,0.09519161047322894,0.8572125842901566,560.2055565010676,0.007547547547547547
