param,param_value,mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
T_coh,1.3894954943731375,no_mux,100,1,1.0,3,1000,269.0681130819076,0.06739328474007827,0.8989100728898826,1440.9001922690861,0.9941221221221221
T_coh,3.727593720314938,no_mux,100,1,1.0,3,1000,269.5571838381139,0.06713104118347504,0.8993034382247874,1442.4319035954165,0.9949189189189189
T_coh,10.0,no_mux,100,1,1.0,3,1000,277.76609560427033,0.0664749555913564,0.9002875666129655,1460.7237907318297,0.9943783783783784
eta_total,0.03,no_mux,100,1,1.0,3,1000,0.0,,,0.0,0.0
eta_total,0.09714285714285714,no_mux,100,1,1.0,3,1000,4.794770924476184,0.13193748216307902,0.8020937767553815,91.19229737945355,0.25567167167167165
eta_total,0.16428571428571428,no_mux,100,1,1.0,3,1000,32.81593123839061,0.09045493920988039,0.8643175911851794,279.75751200652724,0.8125565565565566
eta_total,0.23142857142857143,no_mux,100,1,1.0,3,1000,83.49481453920306,0.07918817258829357,0.8812177411175597,560.7346643772479,0.9384084084084084
eta_total,0.2985714285714286,no_mux,100,1,1.0,3,1000,152.63919763978322,0.07487105479841674,0.887693417802375,938.3879954768644,0.963013013013013
eta_total,0.36571428571428577,no_mux,100,1,1.0,3,1000,245.3667187911491,0.0717602631677597,0.8923596052483604,1423.3420671682172,0.9689629629629629
eta_total,0.43285714285714283,no_mux,100,1,1.0,3,1000,354.6294720337468,0.07016354021223696,0.8947546896816446,1998.8053744567069,0.9722322322322322
eta_total,0.5,no_mux,100,1,1.0,3,1000,464.58151727583834,0.07021679875094927,0.8946748018735761,2629.4843833776936,0.9862822822822823
alpha,0.14,no_mux,100,1,1.0,3,1000,282.0902384000426,0.070908507131924,0.8936372393021139,1620.744252339198,0.9677697697697698
alpha,0.15142857142857144,no_mux,100,1,1.0,3,1000,271.34069588970516,0.07113270462490685,0.8933009430626397,1562.222720801058,0.9690970970970971
alpha,0.16285714285714287,no_mux,100,1,1.0,3,1000,258.30360196110723,0.07174611960026123,0.8923808205996081,1506.9838647759427,0.970052052052052
alpha,0.1742857142857143,no_mux,100,1,1.0,3,1000,251.96887344266972,0.07169907471206949,0.8924513879318957,1463.425205523925,0.9710750750750751
alpha,0.18571428571428572,no_mux,100,1,1.0,3,1000,246.6244942378436,0.07157001566821787,0.8926449764976733,1422.6067370537583,0.9704624624624625
alpha,0.19714285714285715,no_mux,100,1,1.0,3,1000,233.7893371947838,0.07234573778269819,0.8914813933259527,1366.845663463297,0.967915915915916
alpha,0.20857142857142857,no_mux,100,1,1.0,3,1000,223.39953882648229,0.07285399353624425,0.8907190096956336,1316.486963918364,0.9668288288288288
alpha,0.22,no_mux,100,1,1.0,3,1000,216.04305023378322,0.07283011916767299,0.8907548212484905,1272.5636142022424,0.9712532532532533
V,0.8,no_mux,100,1,1.0,3,1000,5.122483365694871,0.22809888402980735,0.6578516739552889,1083.3826505039226,0.004416416416416416
V,0.8271428571428572,no_mux,100,1,1.0,3,1000,6.578441220775518,0.2041706105021176,0.6937440842468235,1132.3852093101416,0.03707907907907908
V,0.8542857142857143,no_mux,100,1,1.0,3,1000,14.277227927893334,0.17827032796381584,0.7325945080542762,1196.518955608441,0.0453013013013013
V,0.8814285714285715,no_mux,100,1,1.0,3,1000,23.092765729491653,0.15099479344477093,0.7735078098328436,1253.6962296339223,0.04500900900900901
V,0.9085714285714286,no_mux,100,1,1.0,3,1000,58.09703063649794,0.12221889824243624,0.8166716526363456,1304.8112617802124,0.2341801801801802
V,0.9357142857142857,no_mux,100,1,1.0,3,1000,160.40130038446958,0.08921903489390877,0.8661714476591368,1399.044963604468,0.8706106106106106
V,0.9628571428571429,no_mux,100,1,1.0,3,1000,339.7438574911223,0.055795102010680074,0.9163073469839799,1468.9236261185595,0.9993473473473473
V,0.99,no_mux,100,1,1.0,3,1000,595.0941077537842,0.01958935695121057,0.9706159645731841,1549.8616336103607,1.0
P_BSM,0.1,no_mux,100,1,1.0,4,1000,17.74981144429021,0.07091031236760173,0.8936345314485975,51.95026751686761,0.9727047047047047
P_BSM,0.2285714285714286,no_mux,100,1,1.0,4,1000,29.222972756736215,0.07104404589864713,0.8934339311520294,101.53793687682783,0.9731071071071071
P_BSM,0.3571428571428572,no_mux,100,1,1.0,4,1000,47.34031449108504,0.0712471099925731,0.8931293350111402,188.92606608152295,0.9713133133133133
P_BSM,0.48571428571428577,no_mux,100,1,1.0,4,1000,74.25362909965745,0.0710300666512277,0.8934549000231585,328.15889919018014,0.9710490490490491
P_BSM,0.6142857142857143,no_mux,100,1,1.0,4,1000,105.12253325540786,0.0711889686222934,0.8932165470665598,510.3536586353198,0.971973973973974
P_BSM,0.7428571428571429,no_mux,100,1,1.0,4,1000,144.04194658279167,0.07169201950559854,0.8924619707416022,754.5870843952094,0.9678918918918918
P_BSM,0.8714285714285716,no_mux,100,1,1.0,4,1000,194.29757437404353,0.07115285824112191,0.893270712638317,1068.1250837866887,0.9712652652652652
P_BSM,1.0,no_mux,100,1,1.0,4,1000,251.69444014696074,0.07097286160095306,0.8935407075985704,1442.3334861689987,0.9701561561561561
T_coh,0.01,no_mux,100,1,1.0,4,1000,165.18875589253105,0.09005423152867392,0.8649186527069891,1400.2250376186519,0.8128508508508508
T_coh,0.02682695795279726,no_mux,100,1,1.0,4,1000,223.29379469649422,0.0760038095688211,0.8859942856467682,1414.0300777436648,0.9659059059059059
T_coh,0.07196856730011521,no_mux,100,1,1.0,4,1000,256.99999108115935,0.0696878279681773,0.8954682580477341,1440.9982671735343,0.9750410410410411
T_coh,0.19306977288832497,no_mux,100,1,1.0,4,1000,270.28341498457075,0.06741566282291295,0.8988765057656307,1452.5834636893387,0.9956016016016016
T_coh,0.517947467923121,no_mux,100,1,1.0,4,1000,266.4358929693827,0.06725168302423616,0.8991224754636458,1431.2317359754788,0.9952112112112113
T_coh,1.3894954943731375,no_mux,100,1,1.0,4,1000,273.0474172975437,0.0665114612508867,0.90023280812367,1445.2378009184308,0.9948028028028028
T_coh,3.727593720314938,no_mux,100,1,1.0,4,1000,275.9178396053472,0.06620034829987734,0.900699477550184,1449.00662063111,0.9951071071071071
T_coh,10.0,no_mux,100,1,1.0,4,1000,273.8186617082587,0.06624715283845724,0.900629270742314,1443.3662988053575,0.9957577577577578
eta_total,0.03,no_mux,100,1,1.0,4,1000,0.0,,,0.0,0.0
eta_total,0.09714285714285714,no_mux,100,1,1.0,4,1000,5.120351276607451,0.1294549650281804,0.8058175524577295,92.7097846550621,0.2781181181181181
eta_total,0.16428571428571428,no_mux,100,1,1.0,4,1000,33.21613443182666,0.0897016241381333,0.8654475637928001,280.1646775919302,0.8187287287287287
eta_total,0.23142857142857143,no_mux,100,1,1.0,4,1000,85.00484739120309,0.07804355422095202,0.8829346686685718,562.5432657022263,0.950038038038038
eta_total,0.2985714285714286,no_mux,100,1,1.0,4,1000,155.59174236255157,0.07363172101548604,0.8895524184767709,941.0177410398499,0.9727367367367368
eta_total,0.36571428571428577,no_mux,100,1,1.0,4,1000,249.53777012577416,0.070844166032869,0.8937337509506965,1425.681909914614,0.971993993993994
eta_total,0.43285714285714283,no_mux,100,1,1.0,4,1000,351.1025565507891,0.07011191595603868,0.894832126065942,1983.447152326448,0.9701081081081081
eta_total,0.5,no_mux,100,1,1.0,4,1000,482.53204641943677,0.06910567388508902,0.8963414891723666,2671.540066312009,0.989047047047047
alpha,0.14,no_mux,100,1,1.0,4,1000,285.3987261838248,0.07029080084292187,0.8945637987356172,1624.067568766129,0.9729389389389389
alpha,0.15142857142857144,no_mux,100,1,1.0,4,1000,277.92101911837364,0.07032579713200601,0.894511304301991,1573.1718252608205,0.9704804804804805
alpha,0.16285714285714287,no_mux,100,1,1.0,4,1000,261.7167455954579,0.07116295781592781,0.8932555632761083,1508.6894554461107,0.9672952952952953
alpha,0.1742857142857143,no_mux,100,1,1.0,4,1000,251.21573295794045,0.07140851388261076,0.8928872291760838,1455.3778815800263,0.970052052052052
alpha,0.18571428571428572,no_mux,100,1,1.0,4,1000,242.2185759354946,0.07171568319644592,0.8924264752053311,1408.2361294157608,0.9675895895895896
